anio;item;categoria;seccion;combustible;tcal
2008;OFERTA;Var.Stock + Pérdidas + Error Est.;Energéticos Primarios;Biomasa;0
2008;OFERTA;Var.Stock + Pérdidas + Error Est.;Energéticos Primarios;Energía Hídrica;631,2604781
2008;OFERTA;Var.Stock + Pérdidas + Error Est.;Energéticos Primarios;Energía Eólica;0
2008;OFERTA;Var.Stock + Pérdidas + Error Est.;Derivados De Petróleo;Petróleo Diesel;707,5814026
2008;OFERTA;Var.Stock + Pérdidas + Error Est.;Derivados De Petróleo;Petróleo Combustible;-2889,364061
2008;OFERTA;Var.Stock + Pérdidas + Error Est.;Derivados De Petróleo;Gasolina de motor;-2698,828242
2008;OFERTA;Var.Stock + Pérdidas + Error Est.;Derivados De Petróleo;Kerosene;-16,79381238
2008;OFERTA;Var.Stock + Pérdidas + Error Est.;Derivados De Petróleo;Gas Licuado;2366,100425
2008;OFERTA;Var.Stock + Pérdidas + Error Est.;Derivados De Petróleo;Gasolina de Aviación;2,07053868
2008;OFERTA;Var.Stock + Pérdidas + Error Est.;Derivados De Petróleo;Kerosene de Aviación;-5,089877028
2008;OFERTA;Var.Stock + Pérdidas + Error Est.;Derivados De Petróleo;Nafta;-20,7041975
2008;OFERTA;Var.Stock + Pérdidas + Error Est.;Derivados De Petróleo;Gas de Refinería;-3,0743
2008;OFERTA;Var.Stock + Pérdidas + Error Est.;Derivados De Petróleo;Coque de Petróleo;985,7339114
2008;OFERTA;Var.Stock + Pérdidas + Error Est.;Derivados De Petróleo;D.I. de Petróleo;0
2008;OFERTA;Var.Stock + Pérdidas + Error Est.;Electricidad;Electricidad;4369,460329
2008;OFERTA;Var.Stock + Pérdidas + Error Est.;Derivados De Carbón;Coque Mineral;72,10529598
2008;OFERTA;Var.Stock + Pérdidas + Error Est.;Derivados De Carbón;Gas Coque;0
2008;OFERTA;Var.Stock + Pérdidas + Error Est.;Derivados De Carbón;Alquitrán;13,862
2008;OFERTA;Var.Stock + Pérdidas + Error Est.;Derivados De Carbón;Gas de Altos Hornos;249,455715
2008;OFERTA;Var.Stock + Pérdidas + Error Est.;Gas Corriente;Gas Corriente;28,49787129
2008;OFERTA;Var.Stock + Pérdidas + Error Est.;Metanol;Metanol;252,2777367
2008;OFERTA;Oferta Total;Energéticos Primarios;Petróleo Crudo;110419,5539
2008;OFERTA;Oferta Total;Energéticos Primarios;Gas Natural;23775,54463
2008;OFERTA;Oferta Total;Energéticos Primarios;Carbón;43695,20265
2008;OFERTA;Oferta Total;Energéticos Primarios;Biomasa;51169,57832
2008;OFERTA;Oferta Total;Energéticos Primarios;Energía Hídrica;20865,12558
2008;OFERTA;Oferta Total;Energéticos Primarios;Energía Eólica;32,77899116
2008;OFERTA;Oferta Total;Derivados De Petróleo;Petróleo Diesel;48251,12391
2008;OFERTA;Oferta Total;Derivados De Petróleo;Petróleo Combustible;9039,126973
2008;OFERTA;Oferta Total;Derivados De Petróleo;Gasolina de motor;754,5574954
2008;OFERTA;Oferta Total;Derivados De Petróleo;Kerosene;16,79381238
2008;OFERTA;Oferta Total;Derivados De Petróleo;Gas Licuado;7926,080363
2008;OFERTA;Oferta Total;Derivados De Petróleo;Gasolina de Aviación;-2,07053868
2008;OFERTA;Oferta Total;Derivados De Petróleo;Kerosene de Aviación;3824,850395
2008;OFERTA;Oferta Total;Derivados De Petróleo;Nafta;-306,4684105
2008;OFERTA;Oferta Total;Derivados De Petróleo;Gas de Refinería;3,0743
2008;OFERTA;Oferta Total;Derivados De Petróleo;Coque de Petróleo;1813,113679
2008;OFERTA;Oferta Total;Derivados De Petróleo;D.I. de Petróleo;0
2008;OFERTA;Oferta Total;Electricidad;Electricidad;-3376,856181
2008;OFERTA;Oferta Total;Derivados De Carbón;Coque Mineral;284,395504
2008;OFERTA;Oferta Total;Derivados De Carbón;Gas Coque;0
2008;OFERTA;Oferta Total;Derivados De Carbón;Alquitrán;-13,862
2008;OFERTA;Oferta Total;Derivados De Carbón;Gas de Altos Hornos;-249,455715
2008;OFERTA;Oferta Total;Gas Corriente;Gas Corriente;-28,49787129
2008;OFERTA;Oferta Total;Metanol;Metanol;-5371,823417
2008;C.TRANSFO.;Centrales Eléctricas: Autoproductores;Energéticos Primarios;Petróleo Crudo;0
2008;C.TRANSFO.;Centrales Eléctricas: Autoproductores;Energéticos Primarios;Gas Natural;-564,3159126
2008;C.TRANSFO.;Centrales Eléctricas: Autoproductores;Energéticos Primarios;Carbón;-47,90734655
2008;C.TRANSFO.;Centrales Eléctricas: Autoproductores;Energéticos Primarios;Biomasa;-5176,791449
2008;C.TRANSFO.;Centrales Eléctricas: Autoproductores;Energéticos Primarios;Energía Hídrica;-361,8750974
2008;C.TRANSFO.;Centrales Eléctricas: Autoproductores;Energéticos Primarios;Energía Eólica;0
2008;C.TRANSFO.;Centrales Eléctricas: Autoproductores;Derivados De Petróleo;Petróleo Diesel;-374,6334275
2008;C.TRANSFO.;Centrales Eléctricas: Autoproductores;Derivados De Petróleo;Petróleo Combustible;-1184,159202
2008;C.TRANSFO.;Centrales Eléctricas: Autoproductores;Derivados De Petróleo;Gasolina de motor;0
2008;C.TRANSFO.;Centrales Eléctricas: Autoproductores;Derivados De Petróleo;Kerosene;0
2008;C.TRANSFO.;Centrales Eléctricas: Autoproductores;Derivados De Petróleo;Gas Licuado;-10,0628198
2008;C.TRANSFO.;Centrales Eléctricas: Autoproductores;Derivados De Petróleo;Gasolina de Aviación;0
2008;C.TRANSFO.;Centrales Eléctricas: Autoproductores;Derivados De Petróleo;Kerosene de Aviación;0
2008;C.TRANSFO.;Centrales Eléctricas: Autoproductores;Derivados De Petróleo;Nafta;0
2008;C.TRANSFO.;Centrales Eléctricas: Autoproductores;Derivados De Petróleo;Gas de Refinería;-171,4634806
2008;C.TRANSFO.;Centrales Eléctricas: Autoproductores;Derivados De Petróleo;Coque de Petróleo;0
2008;C.TRANSFO.;Centrales Eléctricas: Autoproductores;Derivados De Petróleo;D.I. de Petróleo;0
2008;C.TRANSFO.;Centrales Eléctricas: Autoproductores;Electricidad;Electricidad;3448,925119
2008;C.TRANSFO.;Centrales Eléctricas: Autoproductores;Derivados De Carbón;Coque Mineral;0
2008;C.TRANSFO.;Centrales Eléctricas: Autoproductores;Derivados De Carbón;Gas Coque;0
2008;C.TRANSFO.;Centrales Eléctricas: Autoproductores;Derivados De Carbón;Alquitrán;0
2008;C.TRANSFO.;Centrales Eléctricas: Autoproductores;Derivados De Carbón;Gas de Altos Hornos;0
2008;C.TRANSFO.;Centrales Eléctricas: Autoproductores;Gas Corriente;Gas Corriente;0
2008;C.TRANSFO.;Centrales Eléctricas: Autoproductores;Metanol;Metanol;0
2008;C.TRANSFO.;Centrales Eléctricas: Servicio Publico;Energéticos Primarios;Petróleo Crudo;0
2008;C.TRANSFO.;Centrales Eléctricas: Servicio Publico;Energéticos Primarios;Gas Natural;-4709,347892
2008;C.TRANSFO.;Centrales Eléctricas: Servicio Publico;Energéticos Primarios;Carbón;-34794,34101
2008;C.TRANSFO.;Centrales Eléctricas: Servicio Publico;Energéticos Primarios;Biomasa;-215,3506872
